gender,Near_Location,Partner,Promo_friends,Phone,Contract_period,Group_visits,Age,Avg_additional_charges_total,Month_to_end_contract,Lifetime,Avg_class_frequency_total,Avg_class_frequency_current_month,Churn,Delta_freq,is_sleeping_dog,freq_ratio,risk_score,faixa_risco
0,1,0,0,1,12,0,34,121.67,1.9,5.6,2.03,2.37,0,-0.3400000000000003,0,1.1617647058823533,0.00010342873335222445,1. Baixo
1,0,0,1,1,1,1,30,77.42,0.4,2.4,1.67,1.47,0,0.19999999999999996,0,0.875,0.18657030912491368,1. Baixo
1,1,1,0,1,1,1,28,102.11,0.6,1.4,2.62,2.62,0,0.0,0,0.9961977186311788,0.05730104871797278,1. Baixo
0,1,1,0,1,1,0,26,121.81,0.2,8.0,2.42,0.04,0,2.38,1,0.01646090534979424,0.03740572555421446,1. Baixo
1,1,0,0,1,1,0,32,122.53,0.5,2.0,1.21,0.67,1,0.5399999999999999,0,0.5491803278688525,0.8451255939456757,4. Critico
0,1,0,0,1,1,0,33,46.58,0.6,0.5,1.48,0.88,0,0.6,0,0.5906040268456376,0.6910322091713708,3. Alto
1,1,1,0,1,1,1,29,99.03,0.7,2.8,1.64,1.63,0,0.010000000000000009,0,0.9878787878787879,0.11253337277690562,1. Baixo
1,1,1,0,1,1,0,34,323.92,0.1,0.4,3.32,1.14,1,2.1799999999999997,0,0.34234234234234234,0.9660202201049465,4. Critico
1,1,0,0,0,6,0,23,52.51,5.2,3.7,2.97,1.98,1,0.9900000000000002,0,0.6644295302013423,0.7033135336634221,4. Critico
1,0,0,0,1,1,1,29,147.95,0.5,3.3,0.77,1.3,0,-0.53,0,1.6666666666666667,0.04025740502519398,1. Baixo
1,1,1,1,1,12,0,29,139.73,7.0,5.2,4.69,4.03,0,0.6600000000000001,0,0.8574468085106384,0.01993032543948775,1. Baixo
0,1,1,0,1,6,0,27,376.65,5.6,5.0,5.58,5.76,0,-0.17999999999999972,0,1.0304114490161003,0.005929056168608246,1. Baixo
0,1,0,1,1,1,1,37,144.26,0.2,0.7,1.3,1.52,0,-0.21999999999999997,0,1.1603053435114503,0.043015586606618375,1. Baixo
1,1,0,0,1,12,0,29,309.06,10.6,5.6,2.72,2.6,0,0.1200000000000001,0,0.9523809523809524,0.01836105508570688,1. Baixo
1,1,0,0,1,12,0,28,141.91,9.7,13.7,6.5,6.5,0,0.0,0,0.9984639016897082,0.013887802249627951,1. Baixo
0,1,0,0,1,1,0,29,96.91,1.0,1.2,1.74,0.0,1,1.74,0,0.0,0.9971901471987665,4. Critico
1,1,0,1,1,1,0,23,146.6,0.4,2.9,2.01,1.76,0,0.24999999999999978,0,0.8712871287128715,0.21106716958919652,2. Medio
0,1,0,0,1,6,0,27,61.68,0.8,2.7,2.8,3.08,0,-0.28000000000000025,0,1.0960854092526693,0.0015704500698957174,1. Baixo
0,0,0,0,1,1,0,32,153.9,0.0,0.8,4.02,2.97,1,1.0499999999999994,0,0.7369727047146404,0.9360155536792402,4. Critico
0,1,0,1,0,1,1,27,102.65,0.8,1.9,0.34,0.22,0,0.12000000000000002,0,0.6285714285714286,0.28073178834311113,2. Medio
0,1,0,1,1,1,0,26,97.29,0.1,0.7,1.7,2.19,0,-0.49,0,1.280701754385965,0.013533492760175776,1. Baixo
0,1,0,1,1,6,0,34,231.87,1.8,2.2,4.01,4.27,0,-0.2599999999999998,0,1.0621890547263682,0.0015229845711133702,1. Baixo
0,1,1,1,1,6,1,34,114.44,5.9,2.5,2.86,3.33,0,-0.4700000000000002,0,1.1602787456445995,0.0009764851908211656,1. Baixo
0,1,0,0,1,6,0,31,36.41,2.7,5.7,2.56,0.0,1,2.56,0,0.0,0.9017945800158177,4. Critico
1,1,1,1,1,6,1,28,176.77,1.4,4.7,2.32,2.5,0,-0.18000000000000016,0,1.072961373390558,0.014731338855708341,1. Baixo
1,1,1,0,1,1,0,28,198.26,0.8,2.0,3.88,4.53,0,-0.6500000000000004,0,1.1645244215938304,0.014728254811314205,1. Baixo
1,0,1,1,1,6,0,27,405.38,1.6,4.1,2.93,1.22,1,1.7100000000000002,0,0.41496598639455784,0.8339261006469023,4. Critico
1,1,0,0,1,1,0,26,153.43,0.5,1.5,5.02,4.6,1,0.41999999999999993,0,0.9145129224652088,0.6768352465319076,3. Alto
0,1,0,0,1,1,0,26,108.89,0.2,8.2,1.84,0.33,0,1.51,1,0.1783783783783784,0.09268020403643691,1. Baixo
1,1,1,0,1,6,1,27,178.34,2.8,3.5,0.51,0.0,1,0.51,0,0.0,0.7472560484470201,4. Critico
1,1,0,1,1,1,1,26,64.51,0.1,4.4,3.87,3.69,0,0.18000000000000016,0,0.9510309278350516,0.11638149891390256,1. Baixo
1,1,0,0,1,6,0,24,97.09,4.6,3.6,1.72,2.08,0,-0.3600000000000001,0,1.2023121387283238,0.013128728708008493,1. Baixo
0,1,0,1,1,6,0,30,188.85,2.2,5.4,2.13,2.06,0,0.06999999999999984,0,0.9626168224299068,0.007422756016372009,1. Baixo
0,1,1,0,0,6,0,30,119.35,1.9,4.1,2.41,3.54,0,-1.13,0,1.462809917355372,0.011264518890758772,1. Baixo
0,0,1,0,1,6,0,35,42.54,6.0,5.6,1.49,1.68,0,-0.18999999999999995,0,1.1199999999999999,0.0004082636287335685,1. Baixo
1,1,0,0,1,6,0,27,113.91,5.0,6.7,0.89,1.85,0,-0.9600000000000001,0,2.055555555555556,0.0002730005646997985,1. Baixo
1,1,1,0,1,1,0,30,145.33,0.6,1.7,3.42,3.09,1,0.33000000000000007,0,0.9008746355685131,0.5639312557772793,3. Alto
0,1,1,0,1,1,0,30,116.54,0.9,2.2,0.07,0.0,0,0.07,0,0.0,0.30930008757181104,2. Medio
0,1,0,1,1,1,0,28,46.61,0.2,0.8,6.36,6.42,0,-0.05999999999999961,0,1.0078492935635792,0.016940516607885172,1. Baixo
0,1,0,0,1,1,1,32,23.07,0.6,1.1,1.86,2.06,0,-0.19999999999999996,0,1.1016042780748663,0.043777774627680455,1. Baixo
0,1,0,0,1,1,0,32,208.52,0.9,16.5,0.51,0.0,0,0.51,1,0.0,0.25383207807849617,2. Medio
1,0,1,0,1,12,0,30,195.97,6.8,7.0,4.07,4.5,0,-0.4299999999999997,0,1.1029411764705883,0.0,1. Baixo
0,1,1,1,1,1,0,28,90.7,0.3,0.1,0.33,0.29,1,0.040000000000000036,0,0.8529411764705881,0.6261529708710118,3. Alto
0,1,1,0,1,1,1,28,88.42,0.8,0.1,1.15,1.41,0,-0.26,0,1.2155172413793103,0.03530435223832588,1. Baixo
0,0,1,1,1,1,1,25,109.93,0.1,3.3,5.68,5.97,0,-0.29000000000000004,0,1.0492091388400704,0.020618408858752782,1. Baixo
0,1,0,0,0,1,0,27,214.6,0.2,0.5,2.49,1.93,1,0.5600000000000003,0,0.772,0.8036649664103943,4. Critico
1,1,1,1,1,6,1,27,146.31,4.4,3.5,2.54,2.62,0,-0.08000000000000007,0,1.027450980392157,0.012550421285801305,1. Baixo
1,1,1,0,0,6,1,25,271.86,0.4,7.1,2.76,2.81,0,-0.050000000000000266,0,1.0144404332129966,0.026777969592537833,1. Baixo
0,1,1,1,1,6,0,31,144.2,0.3,3.9,1.16,0.71,0,0.44999999999999996,0,0.6068376068376068,0.3459182915674078,2. Medio
1,0,0,1,1,6,0,33,79.7,2.3,7.5,2.85,3.48,0,-0.6299999999999999,0,1.2167832167832169,0.0008199640190720174,1. Baixo
1,1,0,1,1,1,1,26,92.91,0.4,7.7,2.63,3.42,0,-0.79,0,1.2954545454545456,0.015462974925880633,1. Baixo
1,1,0,0,1,12,0,30,180.52,5.6,4.7,1.92,1.81,0,0.10999999999999988,0,0.9378238341968913,0.00378262820179596,1. Baixo
0,1,0,1,1,1,0,26,308.43,0.7,2.8,4.42,4.67,0,-0.25,0,1.054176072234763,0.07187234008103496,1. Baixo
1,1,1,0,0,1,0,28,150.36,0.6,1.6,3.1,3.12,0,-0.020000000000000018,0,1.0032154340836013,0.047253039932629325,1. Baixo
1,1,1,0,1,1,0,27,235.36,0.7,1.7,0.68,0.02,1,0.66,0,0.02898550724637681,0.891748601835804,4. Critico
0,1,1,0,0,6,1,31,169.2,0.3,3.1,1.64,1.5,0,0.1399999999999999,0,0.9090909090909092,0.09082942694168576,1. Baixo
0,1,0,0,1,1,1,27,159.62,0.3,3.1,1.44,0.0,1,1.44,0,0.0,0.9976264015103782,4. Critico
0,1,0,0,1,1,1,33,327.79,1.0,4.3,1.18,0.97,1,0.20999999999999996,0,0.8151260504201681,0.5540504199437143,3. Alto
0,1,0,0,1,1,1,28,69.84,0.4,0.3,4.07,3.53,1,0.5400000000000005,0,0.8651960784313725,0.6830683244459143,3. Alto
1,1,1,0,1,1,1,27,111.01,0.2,4.2,1.63,1.91,0,-0.28,0,1.1646341463414633,0.024707131236088652,1. Baixo
0,1,1,0,1,6,0,25,99.45,6.0,2.1,3.14,3.0,0,0.14000000000000012,0,0.9523809523809524,0.034898103090320036,1. Baixo
0,1,0,0,1,1,1,30,133.05,0.4,0.9,2.59,2.16,0,0.4299999999999997,0,0.8307692307692309,0.5572200941786033,3. Alto
0,1,1,1,1,1,0,32,51.54,0.5,3.3,0.96,0.72,0,0.24,0,0.7422680412371134,0.3248950648307649,2. Medio
0,1,1,0,1,1,0,30,129.5,0.2,1.1,4.07,2.66,1,1.4100000000000001,0,0.6519607843137255,0.9796161660806942,4. Critico
1,1,0,0,1,6,1,37,88.71,3.9,5.4,2.04,0.43,1,1.61,0,0.20975609756097563,0.8299806324193902,4. Critico
1,1,0,0,1,1,1,34,92.47,0.2,11.4,1.63,1.29,0,0.33999999999999986,0,0.7865853658536586,0.23178767223063138,2. Medio
1,1,0,1,1,1,0,28,247.38,0.6,2.7,0.51,0.0,1,0.51,0,0.0,0.9474212988343531,4. Critico
1,0,0,0,0,1,0,28,82.48,0.8,0.9,0.92,0.41,0,0.51,0,0.4408602150537634,0.654833532964463,3. Alto
0,1,1,0,1,12,0,31,378.55,7.8,5.5,1.06,1.61,0,-0.55,0,1.5046728971962617,0.0,1. Baixo
1,1,0,1,1,12,1,26,146.97,1.1,6.7,0.69,1.17,0,-0.48,0,1.6714285714285715,0.006601106180939977,1. Baixo
0,0,1,1,1,6,0,33,28.43,0.5,4.3,2.77,3.15,0,-0.3799999999999999,0,1.1330935251798562,0.014476154320428265,1. Baixo
1,1,1,0,1,1,0,30,235.6,0.8,0.3,0.79,1.12,0,-0.33000000000000007,0,1.4000000000000001,0.03525385696587268,1. Baixo
1,1,1,1,0,12,0,30,22.49,10.9,5.7,2.24,1.96,0,0.28000000000000025,0,0.8711111111111111,0.011470614399489995,1. Baixo
1,1,1,1,1,6,1,31,60.54,0.8,2.6,3.8,3.61,0,0.18999999999999995,0,0.9475065616797901,0.04476560343027557,1. Baixo
1,1,0,0,1,6,1,35,165.95,2.3,2.5,2.9,1.46,1,1.44,0,0.5017182130584192,0.9021678708065666,4. Critico
0,1,1,0,1,1,1,30,116.24,0.7,5.0,2.46,1.37,1,1.0899999999999999,0,0.5546558704453443,0.9225314012252182,4. Critico
0,1,0,0,1,1,1,29,195.24,0.8,1.5,0.24,0.47,0,-0.22999999999999998,0,1.88,0.043014564929698615,1. Baixo
1,1,1,1,1,1,0,34,93.01,0.9,3.4,0.69,0.49,0,0.19999999999999996,0,0.7000000000000001,0.20251647431343514,2. Medio
0,1,0,1,1,12,0,32,92.49,8.4,5.3,1.39,1.07,0,0.31999999999999984,0,0.7642857142857143,0.019515222521079692,1. Baixo
0,1,0,0,1,1,0,28,102.57,0.1,4.4,2.58,1.69,1,0.8900000000000001,0,0.6525096525096525,0.9152955083219101,4. Critico
0,0,0,1,1,1,0,29,171.53,0.8,0.9,0.78,0.0,1,0.78,0,0.0,0.9828258747167431,4. Critico
1,1,1,1,1,1,1,30,198.3,0.9,1.7,0.76,0.69,0,0.07000000000000006,0,0.8961038961038961,0.13667189657047701,1. Baixo
1,1,1,0,1,6,0,30,62.88,2.1,4.1,3.98,4.08,0,-0.10000000000000009,0,1.0225563909774438,0.006294025221344111,1. Baixo
0,1,1,1,1,1,1,25,253.83,0.5,8.9,1.77,0.8,1,0.97,0,0.44943820224719105,0.8926963056694818,4. Critico
0,1,0,1,1,12,0,24,367.4,2.0,5.1,0.71,0.0,1,0.71,0,0.0,0.8588863429622233,4. Critico
1,0,1,1,1,6,0,26,130.52,1.8,6.2,2.62,3.26,0,-0.6399999999999997,0,1.2395437262357414,0.0014733114390321784,1. Baixo
0,1,1,1,1,6,1,26,154.58,5.2,5.5,0.88,0.41,0,0.47000000000000003,0,0.46067415730337075,0.14732098143018058,1. Baixo
1,1,0,0,1,1,1,27,88.81,0.1,0.3,2.28,0.81,1,1.4699999999999998,0,0.3537117903930132,0.9835004159468298,4. Critico
0,1,1,1,1,6,0,31,229.81,4.6,4.0,1.6,1.25,0,0.3500000000000001,0,0.7763975155279502,0.10816890939784102,1. Baixo
1,1,1,0,1,6,1,29,23.32,0.6,3.0,1.82,2.3,0,-0.47999999999999976,0,1.256830601092896,0.010328792280389338,1. Baixo
0,1,1,1,1,6,0,30,296.56,1.8,2.1,0.74,1.09,0,-0.3500000000000001,0,1.4533333333333334,0.0030211554481958947,1. Baixo
1,1,0,1,1,1,0,25,278.16,0.6,3.8,1.54,1.39,0,0.15000000000000013,0,0.896774193548387,0.1483917998617529,1. Baixo
1,1,0,1,1,1,0,28,59.45,0.0,4.8,1.4,0.48,1,0.9199999999999999,0,0.3404255319148936,0.927370896857639,4. Critico
0,1,1,1,1,1,1,31,81.14,0.7,0.2,0.82,0.96,0,-0.14,0,1.1566265060240963,0.13048807926898637,1. Baixo
1,1,1,1,1,1,0,31,119.07,0.3,1.0,1.27,1.54,0,-0.27,0,1.203125,0.017779586761116063,1. Baixo
0,0,0,0,1,1,0,27,215.4,0.7,0.3,0.24,0.79,0,-0.55,0,3.16,0.06774616953161146,1. Baixo
0,1,1,0,1,1,0,30,47.79,1.0,1.9,2.77,2.1,1,0.6699999999999999,0,0.7553956834532375,0.5531125199403738,3. Alto
1,1,0,0,1,1,0,36,95.52,0.4,0.9,2.67,2.64,0,0.029999999999999805,0,0.9850746268656718,0.07616565826887295,1. Baixo
1,0,1,1,1,6,1,29,183.12,0.2,2.3,1.33,1.54,0,-0.20999999999999996,0,1.1492537313432836,0.00791063300552668,1. Baixo
0,1,0,0,1,1,0,27,55.85,0.8,1.9,1.36,1.33,0,0.030000000000000027,0,0.9708029197080291,0.1451582791625087,1. Baixo
0,1,0,0,1,12,1,29,124.31,3.3,7.4,1.53,1.74,0,-0.20999999999999996,0,1.12987012987013,0.001058893274710524,1. Baixo
0,0,1,0,1,6,1,30,138.82,0.9,3.3,3.07,3.05,0,0.020000000000000018,0,0.9902597402597403,0.037083161013434604,1. Baixo
1,0,0,0,1,1,0,29,68.5,0.9,4.4,1.35,0.35,1,1.0,0,0.25735294117647056,0.9589024692552154,4. Critico
0,1,1,0,1,6,1,29,134.73,1.4,2.2,3.22,2.15,1,1.0700000000000003,0,0.6656346749226006,0.7746936493470191,4. Critico
0,1,0,1,0,1,1,24,141.79,0.6,0.2,0.52,0.49,0,0.030000000000000027,0,0.9245283018867924,0.2020580725427073,2. Medio
0,0,0,1,1,12,1,26,88.07,3.0,4.9,3.53,4.41,0,-0.8800000000000003,0,1.245762711864407,0.010557979985343312,1. Baixo
1,1,1,0,1,1,1,29,43.65,0.7,0.1,0.17,0.0,1,0.17,0,0.0,0.8810368140441573,4. Critico
1,1,1,1,1,6,0,29,40.74,3.9,2.7,1.2,1.42,0,-0.21999999999999997,0,1.1735537190082643,0.0018815175750062172,1. Baixo
0,1,1,0,1,1,0,27,175.8,0.5,0.0,2.81,2.04,1,0.77,0,0.723404255319149,0.8745001563937861,4. Critico
0,1,1,0,1,1,0,29,175.51,0.6,3.9,3.41,2.32,1,1.0900000000000003,0,0.6783625730994152,0.9443311650588154,4. Critico
1,1,0,0,1,1,1,29,105.99,0.2,0.5,0.54,0.0,1,0.54,0,0.0,0.9641272101329836,4. Critico
0,0,0,1,1,12,0,32,117.93,0.3,4.5,2.66,2.84,0,-0.17999999999999972,0,1.0636704119850187,0.007348023040330081,1. Baixo
1,1,0,0,1,6,1,29,96.63,4.8,7.4,2.49,0.29,0,2.2,1,0.11599999999999999,0.0030016447368421055,1. Baixo
1,1,1,0,1,1,1,31,259.53,0.9,0.5,2.46,0.9,1,1.56,0,0.3643724696356276,0.9835290632332371,4. Critico
1,1,0,0,1,1,0,27,97.84,0.8,0.4,6.5,6.5,0,0.0,0,0.9984639016897082,0.02630050698083683,1. Baixo
1,1,0,0,1,1,1,31,334.37,0.7,3.1,6.5,6.5,0,0.0,0,0.9984639016897082,0.04919423003362486,1. Baixo
1,1,1,0,1,1,0,30,77.38,0.5,0.4,3.78,3.74,0,0.03999999999999959,0,0.986807387862797,0.05645479158816796,1. Baixo
1,1,0,0,1,1,0,32,231.02,0.6,1.6,0.79,0.16,1,0.63,0,0.19999999999999998,0.871281165590883,4. Critico
1,1,1,1,1,1,1,32,55.97,0.7,2.8,1.14,0.0,1,1.14,0,0.0,0.9850511565660461,4. Critico
0,1,0,0,1,12,0,31,160.11,0.3,5.6,2.17,1.95,0,0.21999999999999997,0,0.8944954128440368,0.05772092167208727,1. Baixo
0,1,0,0,1,12,0,29,51.11,5.1,5.1,1.5,0.87,0,0.63,0,0.5761589403973509,0.09060475170009397,1. Baixo
0,1,0,0,1,1,1,30,88.7,0.2,3.2,1.1,0.68,1,0.42000000000000004,0,0.6126126126126126,0.7637632681894576,4. Critico
1,0,0,0,1,6,1,33,228.14,2.2,3.5,3.45,3.31,0,0.14000000000000012,0,0.9566473988439307,0.012854661846273036,1. Baixo
0,1,1,1,1,1,1,27,52.65,0.7,6.0,0.83,0.55,0,0.2799999999999999,0,0.6547619047619049,0.191899476913406,1. Baixo
1,1,0,0,1,6,0,27,287.41,2.2,2.4,0.18,0.0,1,0.18,0,0.0,0.796793412256124,4. Critico
0,1,1,0,1,1,0,30,206.48,0.7,1.7,2.68,2.2,0,0.48,0,0.8178438661710038,0.5984410484097756,3. Alto
0,1,1,1,1,6,0,31,205.49,5.8,4.0,2.91,2.48,0,0.43000000000000016,0,0.8493150684931507,0.0685110415119415,1. Baixo
1,1,0,1,1,6,0,26,205.16,5.5,5.3,0.71,1.24,0,-0.53,0,1.7222222222222223,0.0006534257566869166,1. Baixo
1,1,1,0,1,6,1,29,299.28,5.0,2.2,0.4,0.8,0,-0.4,0,1.951219512195122,0.008431278827264526,1. Baixo
0,1,1,0,1,1,0,29,160.45,0.9,1.8,1.56,1.71,0,-0.1499999999999999,0,1.089171974522293,0.08329489279087322,1. Baixo
0,1,0,1,1,12,1,22,88.5,4.7,6.5,2.28,2.86,0,-0.5800000000000001,0,1.2489082969432317,0.0,1. Baixo
0,1,1,1,0,1,0,28,183.45,0.7,0.3,1.23,0.97,0,0.26,0,0.782258064516129,0.33216867877879475,2. Medio
0,1,0,1,1,1,0,29,125.09,0.7,0.0,1.04,0.0,1,1.04,0,0.0,0.997338313996209,4. Critico
0,1,1,0,1,6,0,29,267.72,5.9,2.1,1.49,1.43,0,0.06000000000000005,0,0.9533333333333333,0.033950186657481056,1. Baixo
1,1,0,1,1,1,0,34,129.92,0.6,0.7,2.53,3.14,0,-0.6100000000000003,0,1.2362204724409451,0.009595826461174432,1. Baixo
0,1,1,0,1,12,0,25,213.39,5.2,12.1,0.73,0.84,0,-0.10999999999999999,0,1.135135135135135,0.031976228444328396,1. Baixo
1,1,1,0,1,12,1,26,69.42,10.0,4.9,2.05,1.71,0,0.33999999999999986,0,0.830097087378641,0.0160961271265634,1. Baixo
1,0,1,1,0,1,1,21,122.92,0.7,10.3,1.1,0.35,1,0.7500000000000001,1,0.31531531531531526,0.8294888024120916,4. Critico
1,1,1,1,1,12,1,28,125.38,1.5,11.4,6.5,6.36,0,0.13999999999999968,0,0.9769585253456222,0.012430723576027059,1. Baixo
0,1,0,0,1,1,0,28,268.51,0.6,3.8,2.13,0.98,1,1.15,0,0.4579439252336449,0.969600932630711,4. Critico
0,1,1,0,1,1,1,28,203.82,0.6,1.7,4.26,3.91,1,0.34999999999999964,0,0.9156908665105388,0.6590959397814725,3. Alto
1,1,0,1,1,1,1,33,69.95,0.6,7.2,2.74,0.02,0,2.72,1,0.007272727272727273,0.06362774533345864,1. Baixo
1,1,0,0,1,12,0,32,133.13,11.3,11.3,5.62,0.01,0,5.61,1,0.0017761989342806395,0.025,1. Baixo
1,0,0,0,0,1,1,29,105.4,0.6,7.0,1.82,1.79,0,0.030000000000000027,0,0.9781420765027322,0.08295604679186322,1. Baixo
0,1,1,0,1,1,1,28,206.37,0.9,4.3,1.98,1.94,0,0.040000000000000036,0,0.9748743718592965,0.10590003773219428,1. Baixo
0,1,1,0,0,1,1,33,219.34,0.4,2.4,1.35,1.01,0,0.3400000000000001,0,0.7426470588235293,0.32858503048476,2. Medio
1,1,0,1,1,12,1,29,253.73,0.7,5.7,1.19,0.86,0,0.32999999999999996,0,0.7166666666666667,0.1526175366137971,1. Baixo
1,1,1,0,1,12,0,26,217.69,4.5,6.0,0.76,0.73,0,0.030000000000000027,0,0.948051948051948,0.01570266825407715,1. Baixo
0,0,1,0,1,6,0,24,78.14,3.2,2.5,1.99,2.4,0,-0.4099999999999999,0,1.2,0.0022244063121490284,1. Baixo
1,0,0,1,1,12,0,28,125.36,10.0,4.9,3.37,3.72,0,-0.3500000000000001,0,1.1005917159763314,0.005,1. Baixo
1,1,0,0,1,12,0,32,229.81,7.6,5.5,1.75,1.54,0,0.20999999999999996,0,0.875,0.003086675632990257,1. Baixo
1,1,1,0,1,1,0,37,278.16,0.4,3.2,1.38,0.89,1,0.4899999999999999,0,0.6402877697841727,0.8067944563712701,4. Critico
1,1,1,0,1,1,0,29,54.03,0.5,1.1,4.16,2.32,1,1.8400000000000003,0,0.5563549160671463,0.9597214845221933,4. Critico
1,1,0,1,1,6,1,27,180.58,6.0,6.4,0.94,0.61,0,0.32999999999999996,0,0.6421052631578947,0.0700561881564337,1. Baixo
0,1,1,1,1,6,0,25,128.22,0.8,2.3,1.62,1.09,1,0.53,0,0.6687116564417178,0.7217871613524747,4. Critico
1,0,0,1,1,1,1,31,153.95,0.2,0.3,2.7,2.72,0,-0.020000000000000018,0,1.0036900369003692,0.007366375694737176,1. Baixo
1,1,0,0,1,1,1,23,203.88,0.6,3.9,1.08,0.0,1,1.08,0,0.0,0.9958791221350464,4. Critico
0,1,0,1,1,6,0,31,135.89,4.2,2.8,1.64,0.0,1,1.64,0,0.0,0.9916640714653008,4. Critico
0,1,0,0,1,1,0,32,145.8,0.4,0.3,3.15,1.69,1,1.46,0,0.5348101265822786,0.9821540163679355,4. Critico
1,1,0,0,1,12,1,31,66.06,0.4,4.9,1.07,0.58,0,0.4900000000000001,0,0.537037037037037,0.1643476464295546,1. Baixo
1,1,1,0,1,1,0,28,125.33,0.5,2.1,2.48,0.99,1,1.49,0,0.3975903614457832,0.9900352636001435,4. Critico
